Family,Genus,Subgenus,Species,1996,1997,1998,1999,2002,2011,2012,Prop. years present,New/ Absent in 2011-12,Num_years
Colletidae,,,calvus,R, ,C,C, ,R,C,0.71, ,5
Colletidae,,,coloradensis, ,C,C,R, , , ,0.43,A,3
Colletidae,,,n. sp.2, ,C,R,R, ,R, ,0.57, ,4
Colletidae,,,nevadensis,C,C,C,C, ,R,C,0.86, ,6
Colletidae,,,polifolii, ,C,C,C, ,R, ,0.57, ,4
Colletidae,,(Prosopis),aff. episcopalis,C,C,C,C, ,R,R,0.86, ,6
Colletidae,,(Spatulariella),punctatus, , , ,S, , , ,0.14,A,1
,,,,,,,,,,,,,
Halictidae,Agapostemon,(Agapostemon),femoratus, , , , ,R,R, ,0.29, ,2
Halictidae,,,texanus,R,R,R,C,C,C,C,1, ,7
Halictidae,Augochlorella,(Augochlorella),pomoniella, ,R,R, , , ,R,0.43, ,3
Halictidae,Conanthalictus,(Phaceliapis),bakeri, ,S,R,S, ,R,S,0.71, ,5
Halictidae,,,seminiger, , , ,S, , ,S,0.29, ,2
Halictidae,Dufourea,,dentipes, , , , , ,S, ,0.14,N,1
Halictidae,,,leachi,S,S,C,R,R,R,C,1, ,7
Halictidae,,,mulleri, ,R,R, , ,R, ,0.43, ,3
Halictidae,,,rhamni,R,R,R, , , ,S,0.57, ,4
Halictidae,,,sandhouseae, ,C,C, , ,C,C,0.57, ,4
Halictidae,,,sparsipunctata,C,C,R,R,C,C,C,1, ,7
Halictidae,,,virgata,C,R,S,S, ,R,R,0.86, ,6
Halictidae,Halictus,(Nealictus),farinosus,C,C,C,C,C,C,C,1, ,7
Halictidae,,(Odontalictus),ligatus, , , ,R,C,C,C,0.57, ,4
Halictidae,,(Protohalictus),rubicundus, , , , ,S, , ,0.14,A,1
Halictidae,,(Seladonia),tripartitus,C,C,C,C,C,C,C,1, ,7
Halictidae,Lasioglossum,(Dialictus),albohirtum, , , ,R, ,S,R,0.43, ,3
Halictidae,,,brunneiventre, ,R,R,R, ,C,C,0.71, ,5
Halictidae,,,diversopunctatum, , ,S, , ,R, ,0.29, ,2
Halictidae,,,hudsoniellum, , , , , ,S,R,0.29,N,2
Halictidae,,,imbrex,R,C,C,C, ,C,C,0.86, ,6
Halictidae,,,cf. impavidum, , , , , , ,S,0.14,N,1
Halictidae,,,incompletum,R,R,C,C, ,C,C,0.86, ,6
Halictidae,,,megastictum, , ,S, , ,R, ,0.29, ,2
Halictidae,,,nevadense,R,C,C,C, ,C,C,0.86, ,6
Halictidae,,,perichlarum, , , , , ,R, ,0.14,N,1
Halictidae,,,petrellum, ,S, , , , , ,0.14,A,1
Halictidae,,,punctatoventre,R,C,C,C, ,C,C,0.86, ,6
Halictidae,,,aff. ruidosense,R,R, ,R, , , ,0.43,A,3
Halictidae,,(Evylaeus),argemonis,R,C,C,C, ,C,C,0.86, ,6
Halictidae,,,giffardi, , , , ,S,C,R,0.43, ,3
Halictidae,,,robustum, ,S,R,C, ,C,C,0.71, ,5
Halictidae,,(Hemihalictus),aspilurum, ,S, ,S, ,R,R,0.57, ,4
Halictidae,,,glabriventre,R,R,R,C, ,C,C,0.86, ,6
Halictidae,,,kincaidii,R,R,S,S, ,R,R,0.86, ,6
Halictidae,,,ovaliceps, ,S,R, , ,S, ,0.43, ,3
Halictidae,,,ruficorne,R,R,C,C, ,C,R,0.86, ,6
Halictidae,,,sequoiae,S, ,R,C, ,C,C,0.71, ,5
Halictidae,,(Lasioglossum),egregium, ,S,R,R, ,C,C,0.71, ,5
Halictidae,,,mellipes, , , , ,R,C,R,0.43, ,3
Halictidae,,,sisymbrii,R,C,C,C,C,C,C,1, ,7
Halictidae,,,titusi, , ,S,R, ,C,C,0.57, ,4
Halictidae,,(Sphecodogastra),allonotum, , ,S, , ,R,R,0.43, ,3
Halictidae,,,aff. avalonense, ,S,R,C, ,C,C,0.71, ,5
Halictidae,,,miguelense, ,S, ,R, ,R,C,0.57, ,4
Halictidae,,,nigrescens,C,C,C,C, ,C,C,0.86, ,6
Halictidae,,,sp. 16, , , ,R, ,C,C,0.43, ,3
Halictidae,Micralictoides,,altadenae, ,S, , , ,R, ,0.29, ,2
Halictidae,,,ruficaudus,R,R,S, , ,C,R,0.71, ,5
Halictidae,Sphecodes,,arvensiformis,S,R, , ,S,S,R,0.71, ,5
Halictidae,,,sp. B,R,C,C,R, ,R,R,0.86, ,6
Halictidae,,,sp. C,R, , , , , , ,0.14,A,1
Halictidae,,,sp. D,R, ,S,R, ,R,R,0.71, ,5
Halictidae,,,sp. E,S,R,R,C,R,C,C,1, ,7
Halictidae,,,sp. F,S,R, , , , , ,0.29,A,2
Halictidae,,,sp. I, ,S, , , , , ,0.14,A,1
Halictidae,,,sp. J, ,R, , , , , ,0.14,A,1
Halictidae,,,sp. K, ,S, , , , , ,0.14,A,1
Halictidae,,,sp. L, ,S,R,C, ,R, ,0.57, ,4
Halictidae,,,sp. M, , , , , , ,S,0.14,N,1
,,,,,,,,,,,,,
Megachilidae,Anthidiellum,(Loyalanthidium),robertsoni, ,C,C, , ,R, ,0.43, ,3
Megachilidae,Anthidium,(Anthidium),collectum,R,C,C,C,R,R,R,1, ,7
Megachilidae,,,edwardsii, , , , , , ,R,0.14,N,1
Megachilidae,,,jocosum, , , , , , ,R,0.14,N,1
Megachilidae,,,maculosum, ,S, , , , , ,0.14,A,1
Megachilidae,,,mormonum,S,R,S,R, , , ,0.57,A,4
Megachilidae,,,pallidiclypeum,R,S,R,S,S, , ,0.71,A,5
Megachilidae,,,utahense,C,C,C,C,C,C,C,1, ,7
Megachilidae,,(Callanthidium),illustre, ,C,R,R, ,S,R,0.71, ,5
Megachilidae,Ashmeadiella,(Arogochila),aff. salviae n. sp. 2, , , , , ,S, ,0.14,N,1
Megachilidae,,,australis, ,R,R,R, , ,S,0.57, ,4
Megachilidae,,,salviae,R,C,C,R,S,R,C,1, ,7
Megachilidae,,,timberlakei,C,C,C,C, ,R,R,0.86, ,6
Megachilidae,,(Ashmeadiella),altadenae, , , , , ,R,R,0.29,N,2
Megachilidae,,,aridula, , , , ,R, ,C,0.29, ,2
Megachilidae,,,bucconis, ,C,R, , , ,R,0.43, ,3
Megachilidae,,,cactorum ssp. basalis, ,R, , , , ,R,0.29, ,2
Megachilidae,,,californica ssp. californica,R,C,C,C,R,R,C,1, ,7
Megachilidae,,,difugita ssp. emarginatula, ,R,R, , ,S,R,0.57, ,4
Megachilidae,,,femorata, ,R, ,C, , , ,0.29,A,2
Megachilidae,,,foveata,S,C,C,C, ,S, ,0.71, ,5
Megachilidae,,,gillettei ssp. cismontanica, ,S,S, , , , ,0.29,A,2
Megachilidae,,,meliloti, ,C,C, , , , ,0.29,A,2
Megachilidae,,,pronitens, ,S, , , , , ,0.14,A,1
Megachilidae,,,aff. rufitarsis,R,R,R,R, , , ,0.57,A,4
Megachilidae,,,sonora, ,R,S, ,S, ,R,0.57, ,4
Megachilidae,,,titusi, ,C,R,S, , ,S,0.57, ,4
Megachilidae,Atoposmia,(Atoposmia),n. sp. 2,R,R,S, , ,S, ,0.57, ,4
Megachilidae,,,pycnognatha, ,C,R,S, , , ,0.43,A,3
Megachilidae,,(Eremosmia),hemizoniae, , , , , ,S, ,0.14,N,1
Megachilidae,,(Hexosmia),copelandica ssp. copelandica,R,C,R,R,S,R,R,1, ,7
Megachilidae,Chelostoma,(Chelostoma),aff. minutum n.sp., ,R,R,R, , ,S,0.57, ,4
Megachilidae,,,californicum,C,C,C,C,S,C,R,1, ,7
Megachilidae,,,cockerelli,C,C,C,C,R,C,C,1, ,7
Megachilidae,,,incisulum,C,C,C,C, ,C,R,0.86, ,6
Megachilidae,,,marginatum ssp. incisuloides,C,C,C,R, ,C,R,0.86, ,6
Megachilidae,,,phaceliae,C,C,C,C, ,C,R,0.86, ,6
Megachilidae,,,tetramerum,R,C,C,R, ,S,R,0.86, ,6
